dir,thresh
,0.0
C:/Users/adama/Downloads/gamer/Pics/medium.png,0.9793224334716797
C:/Users/adama/Downloads/gamer/Pics/start.png,0.9764970541000366
C:/Users/adama/Downloads/gamer/Pics/l.png,0.44985368847846985
C:/Users/adama/Downloads/gamer/Pics/t2.png,0.31186315417289734
C:/Users/adama/Downloads/gamer/Pics/t3.png,0.25247785449028015
C:/Users/adama/Downloads/gamer/Pics/t4.png,0.7868300080299377
C:/Users/adama/Downloads/gamer/Pics/t5.png,0.2773604393005371
C:/Users/adama/Downloads/gamer/Pics/t6.png,0.3134312927722931
C:/Users/adama/Downloads/gamer/Pics/t7.png,0.5149053931236267
C:/Users/adama/Downloads/gamer/Pics/t8.png,0.3790045976638794
C:/Users/adama/Downloads/gamer/Pics/t9.png,0.27245256304740906
C:/Users/adama/Downloads/gamer/Pics/t1.png,0.27871623635292053
C:/Users/adama/Downloads/gamer/Pics/q4.png,0.9542673826217651
C:/Users/adama/Downloads/gamer/Pics/q9.png,0.9743202924728394
C:/Users/adama/Downloads/gamer/Pics/q5.png,0.9954829812049866
C:/Users/adama/Downloads/gamer/Pics/q3.png,0.9765186309814453
C:/Users/adama/Downloads/gamer/Pics/q2.png,0.991075873374939
C:/Users/adama/Downloads/gamer/Pics/q7.png,0.952234148979187
C:/Users/adama/Downloads/gamer/Pics/new.png,0.9281642436981201
C:/Users/adama/Downloads/gamer/Pics/+8.png,0.8935989737510681
C:/Users/adama/Downloads/gamer/Pics/+4.png,0.9290522336959839
C:/Users/adama/Downloads/gamer/Pics/q8.png,0.9479019045829773
C:/Users/adama/Downloads/gamer/Pics/q1.png,0.9946743249893188
C:/Users/adama/Downloads/gamer/Pics/q6.png,0.9719384908676147
