img,thresh
,
medium,0.9775667786598206
hard,0.9692332744598389
start,0.9764981865882874
l,0.9830608367919922
.,
q1,0.876093327999115
q2,0.884907603263855
q3,0.7874423265457153
q4,0.7868332862854004
q5,0.8754249215126038
q6,0.8542900681495667
q7,0.7833672165870667
q8,0.7504137754440308
q9,0.7920296788215637
.,
a1,0.9946743249893188
a2,0.9255644083023071
a3,0.9765156507492065
a4,0.9542688131332397
a5,0.9954792857170105
a6,0.971939206123352
a7,0.952234148979187
a8,0.9479026198387146
a9,0.9743180274963379
.,
p8,0.9859930276870728
p4,0.9811774492263794
m4,0.9898879528045654
p14,
p6,
new,0.9281674027442932
...,
m1,0.9690118432044983
